group_variable,group,variable,n,missing,mean,sd,median,q1,q3,min,max,mean_ci_low_boot,mean_ci_high_boot,median_ci_low_boot,median_ci_high_boot
bg3_experience_group,moderate,final_utility_ability_count,4,0,66.5,22.27853974867593,66.5,55.0,78.0,40.0,93.0,48.25,84.75,40.0,93.0
bg3_experience_group,moderate,final_healing_count,4,0,11.0,5.715476066494082,10.5,7.25,14.25,5.0,18.0,6.5,15.5,5.0,18.0
bg3_experience_group,moderate,final_control_count,4,0,36.25,12.0381338531629,38.0,32.75,41.5,20.0,49.0,24.75,46.0,20.0,49.0
bg3_experience_group,moderate,final_support_count,4,0,37.75,12.996794476587935,41.5,35.5,43.75,19.0,49.0,24.75,47.0,19.0,49.0
bg3_experience_group,moderate,final_mobility_count,4,0,15.75,10.242883708539635,15.0,12.25,18.5,4.0,29.0,6.75,25.5,4.0,29.0
bg3_experience_group,moderate,final_long_range_count,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bg3_experience_group,moderate,final_area_damage_count,4,0,15.0,6.164414002968976,17.0,14.25,17.75,6.0,20.0,8.75,19.25,6.0,20.0
bg3_experience_group,moderate,final_single_target_damage_count,4,0,39.0,21.18175315375634,36.5,21.0,54.5,21.0,62.0,21.0,57.0,21.0,62.0
bg3_experience_group,moderate,final_concentration_count,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bg3_experience_group,moderate,final_role_count,4,0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
bg3_experience_group,moderate,final_damage_type_count,4,0,13.0,2.581988897471611,13.0,11.5,14.5,10.0,16.0,11.0,15.0,10.0,16.0
bg3_experience_group,moderate,final_range_band_count,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bg3_experience_group,moderate,final_resource_count,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bg3_experience_group,moderate,final_unique_class_count,4,0,3.75,0.5,4.0,3.75,4.0,3.0,4.0,3.25,4.0,3.0,4.0
