participant_id,session_id,event_category,count
participant-mq3eh42s-fb2cf2,participant-mq3eh42s-fb2cf2,task,1
participant-mq3o607h-2af78e,participant-mq3o607h-2af78e,heatmap,4667
participant-mq3o607h-2af78e,participant-mq3o607h-2af78e,visualization,1767
participant-mq3o607h-2af78e,participant-mq3o607h-2af78e,party,1029
participant-mq3o607h-2af78e,participant-mq3o607h-2af78e,build_edit,893
participant-mq3o607h-2af78e,participant-mq3o607h-2af78e,navigation,343
participant-mq3o607h-2af78e,participant-mq3o607h-2af78e,build_lifecycle,50
participant-mq3o607h-2af78e,participant-mq3o607h-2af78e,friction,50
participant-mq3o607h-2af78e,participant-mq3o607h-2af78e,evaluation,20
participant-mq3o607h-2af78e,participant-mq3o607h-2af78e,process,11
participant-mq3o607h-2af78e,participant-mq3o607h-2af78e,study,5
participant-mq3o607h-2af78e,participant-mq3o607h-2af78e,system,1
participant-mq3o607h-2af78e,participant-mq3o607h-2af78e,task,1
participant-mq5aoq7u-493cb0,participant-mq5aoq7u-493cb0,heatmap,9820
participant-mq5aoq7u-493cb0,participant-mq5aoq7u-493cb0,visualization,2406
participant-mq5aoq7u-493cb0,participant-mq5aoq7u-493cb0,party,1776
participant-mq5aoq7u-493cb0,participant-mq5aoq7u-493cb0,build_edit,1543
participant-mq5aoq7u-493cb0,participant-mq5aoq7u-493cb0,navigation,584
participant-mq5aoq7u-493cb0,participant-mq5aoq7u-493cb0,friction,160
participant-mq5aoq7u-493cb0,participant-mq5aoq7u-493cb0,build_lifecycle,153
participant-mq5aoq7u-493cb0,participant-mq5aoq7u-493cb0,process,16
participant-mq5aoq7u-493cb0,participant-mq5aoq7u-493cb0,evaluation,8
participant-mq5aoq7u-493cb0,participant-mq5aoq7u-493cb0,study,5
participant-mq5aoq7u-493cb0,participant-mq5aoq7u-493cb0,system,1
participant-mq5aoq7u-493cb0,participant-mq5aoq7u-493cb0,task,1
participant-mq6h4za4-3dd8ed,participant-mq6h4za4-3dd8ed,heatmap,4623
participant-mq6h4za4-3dd8ed,participant-mq6h4za4-3dd8ed,visualization,1901
participant-mq6h4za4-3dd8ed,participant-mq6h4za4-3dd8ed,party,1072
participant-mq6h4za4-3dd8ed,participant-mq6h4za4-3dd8ed,build_edit,902
participant-mq6h4za4-3dd8ed,participant-mq6h4za4-3dd8ed,navigation,437
participant-mq6h4za4-3dd8ed,participant-mq6h4za4-3dd8ed,process,59
participant-mq6h4za4-3dd8ed,participant-mq6h4za4-3dd8ed,build_lifecycle,52
participant-mq6h4za4-3dd8ed,participant-mq6h4za4-3dd8ed,friction,20
participant-mq6h4za4-3dd8ed,participant-mq6h4za4-3dd8ed,study,5
participant-mq6h4za4-3dd8ed,participant-mq6h4za4-3dd8ed,system,1
participant-mq6h4za4-3dd8ed,participant-mq6h4za4-3dd8ed,task,1
participant-mq6wl4tc-aa847e,participant-mq6wl4tc-aa847e,heatmap,12435
participant-mq6wl4tc-aa847e,participant-mq6wl4tc-aa847e,visualization,1751
participant-mq6wl4tc-aa847e,participant-mq6wl4tc-aa847e,party,1532
participant-mq6wl4tc-aa847e,participant-mq6wl4tc-aa847e,build_edit,1259
participant-mq6wl4tc-aa847e,participant-mq6wl4tc-aa847e,navigation,639
participant-mq6wl4tc-aa847e,participant-mq6wl4tc-aa847e,friction,105
participant-mq6wl4tc-aa847e,participant-mq6wl4tc-aa847e,build_lifecycle,96
participant-mq6wl4tc-aa847e,participant-mq6wl4tc-aa847e,process,6
participant-mq6wl4tc-aa847e,participant-mq6wl4tc-aa847e,study,5
participant-mq6wl4tc-aa847e,participant-mq6wl4tc-aa847e,system,1
participant-mq6wl4tc-aa847e,participant-mq6wl4tc-aa847e,task,1
participant-mq70m2z5-437293,participant-mq70m2z5-437293,heatmap,3810
participant-mq70m2z5-437293,participant-mq70m2z5-437293,visualization,1484
